,,APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,fluctuation
8,31897,HIMAYATNAGAR,PIGEON PEA TUR,2016,JANUARY,202,8015,11966,8117,2016-01,NANDED,MAHARASHTRA,3951
8,14756,SANGRAMPUR,PIGEON PEA TUR,2015,OCTOBER,50,5200,9120,7700,2015-10,BULDHANA,MAHARASHTRA,3920
9,47499,SANGALI,RICEPADDYHUS,2016,JUNE,21082,1963,5858,4481,2016-06,SANGLI,MAHARASHTRA,3895
8,12844,SANGRAMPUR,PIGEON PEA TUR,2015,AUGUST,300,4315,8185,7662,2015-08,BULDHANA,MAHARASHTRA,3870
2,59141,GHATANJI,COTTON,2016,MARCH,41947,4233,8058,4428,2016-03,YEWATMAL,MAHARASHTRA,3825
9,47420,SANGALI,RICEPADDYHUS,2015,JULY,150,1700,5500,3700,2015-07,SANGLI,MAHARASHTRA,3800
9,47644,SANGALI,RICEPADDYHUS,2015,MAY,617,1700,5500,3600,2015-05,SANGLI,MAHARASHTRA,3800
9,47941,SANGALI,RICEPADDYHUS,2014,SEPTEMBER,3105,1800,5600,3700,2014-09,SANGLI,MAHARASHTRA,3800
9,47645,SANGALI,RICEPADDYHUS,2016,MAY,13097,1906,5696,4380,2016-05,SANGLI,MAHARASHTRA,3790
8,16286,DONDAICHA,PIGEON PEA TUR,2015,APRIL,38,4908,8690,5092,2015-04,DHULE,MAHARASHTRA,3782
8,14909,KHAMGAON,PIGEON PEA TUR,2015,SEPTEMBER,1978,5980,9729,8632,2015-09,BULDHANA,MAHARASHTRA,3749
9,46984,SANGALI,RICEPADDYHUS,2016,APRIL,10465,1897,5606,4369,2016-04,SANGLI,MAHARASHTRA,3709
9,47803,SANGALI,RICEPADDYHUS,2016,OCTOBER,12876,2079,5768,4489,2016-10,SANGLI,MAHARASHTRA,3689
8,5803,DARYAPUR,PIGEON PEA TUR,2015,AUGUST,2878,5373,9048,8727,2015-08,AMARAVATHI,MAHARASHTRA,3675
9,47336,SANGALI,RICEPADDYHUS,2016,JANUARY,1991,2000,5667,4233,2016-01,SANGLI,MAHARASHTRA,3667
9,47074,SANGALI,RICEPADDYHUS,2016,AUGUST,12578,2007,5665,4496,2016-08,SANGLI,MAHARASHTRA,3658
9,47421,SANGALI,RICEPADDYHUS,2016,JULY,11072,1961,5609,4486,2016-07,SANGLI,MAHARASHTRA,3648
8,59811,SINDI SELU,PIGEON PEA TUR,2016,NOVEMBER,39,1810,5435,2540,2016-11,WARDHA,MAHARASHTRA,3625
9,53956,SOLAPUR,RICEPADDYHUS,2014,NOVEMBER,35759,2114,5719,3840,2014-11,SOLAPUR,MAHARASHTRA,3605
9,23957,KOLHAPURLAXMIPURI,RICEPADDYHUS,2014,OCTOBER,200,1900,5500,3000,2014-10,KOLHAPUR,MAHARASHTRA,3600
9,54437,SOLAPUR,RICEPADDYHUS,2014,OCTOBER,16354,2173,5761,3817,2014-10,SOLAPUR,MAHARASHTRA,3588
9,54945,SOLAPUR,RICEPADDYHUS,2014,SEPTEMBER,24479,2160,5732,3834,2014-09,SOLAPUR,MAHARASHTRA,3572
9,47942,SANGALI,RICEPADDYHUS,2016,SEPTEMBER,15286,2032,5586,4455,2016-09,SANGLI,MAHARASHTRA,3554
9,23782,KOLHAPURLAXMIPURI,RICEPADDYHUS,2014,NOVEMBER,870,2100,5650,3300,2014-11,KOLHAPUR,MAHARASHTRA,3550
9,51619,SOLAPUR,RICEPADDYHUS,2014,DECEMBER,27504,2115,5664,3782,2014-12,SOLAPUR,MAHARASHTRA,3549
9,52640,SOLAPUR,RICEPADDYHUS,2016,JULY,13720,2160,5698,3277,2016-07,SOLAPUR,MAHARASHTRA,3538
9,51964,SOLAPUR,RICEPADDYHUS,2015,FEBRUARY,20333,2128,5662,3688,2015-02,SOLAPUR,MAHARASHTRA,3534
9,24154,KOLHAPURLAXMIPURI,RICEPADDYHUS,2014,SEPTEMBER,2725,1931,5456,3000,2014-09,KOLHAPUR,MAHARASHTRA,3525
9,52313,SOLAPUR,RICEPADDYHUS,2015,JANUARY,29394,2124,5647,3790,2015-01,SOLAPUR,MAHARASHTRA,3523
9,54946,SOLAPUR,RICEPADDYHUS,2015,SEPTEMBER,9267,2143,5656,3645,2015-09,SOLAPUR,MAHARASHTRA,3513
8,47817,SANGALI,PIGEON PEA TUR,2015,OCTOBER,12,8000,11500,10500,2015-10,SANGLI,MAHARASHTRA,3500
9,53293,SOLAPUR,RICEPADDYHUS,2015,MARCH,16020,2142,5614,3674,2015-03,SOLAPUR,MAHARASHTRA,3472
8,14771,SANGRAMPURVARVATBAKAL,PIGEON PEA TUR,2015,OCTOBER,70,5500,8960,8050,2015-10,BULDHANA,MAHARASHTRA,3460
9,50958,SOLAPUR,RICEPADDYHUS,2015,APRIL,10994,2108,5542,3658,2015-04,SOLAPUR,MAHARASHTRA,3434
9,60657,SANGALI,RICEPADDYHUS,2016,NOVEMBER,13575,2164,5586,4457,2016-11,SANGLI,MAHARASHTRA,3422
9,52976,SOLAPUR,RICEPADDYHUS,2016,JUNE,12558,2225,5646,3298,2016-06,SOLAPUR,MAHARASHTRA,3421
8,4571,BALAPUR,PIGEON PEA TUR,2015,AUGUST,309,5375,8780,8360,2015-08,AKOLA,MAHARASHTRA,3405
9,55478,KALYAN,RICEPADDYHUS,2016,FEBRUARY,12,1600,5000,3900,2016-02,THANE,MAHARASHTRA,3400
9,23151,KOLHAPURLAXMIPURI,RICEPADDYHUS,2015,JANUARY,1990,1992,5392,3000,2015-01,KOLHAPUR,MAHARASHTRA,3400
9,53622,SOLAPUR,RICEPADDYHUS,2015,MAY,13520,2109,5495,3531,2015-05,SOLAPUR,MAHARASHTRA,3386
9,51276,SOLAPUR,RICEPADDYHUS,2016,AUGUST,19663,2215,5596,3225,2016-08,SOLAPUR,MAHARASHTRA,3381
9,52975,SOLAPUR,RICEPADDYHUS,2015,JUNE,16649,2107,5463,3506,2015-06,SOLAPUR,MAHARASHTRA,3356
9,52639,SOLAPUR,RICEPADDYHUS,2015,JULY,7404,2113,5443,3490,2015-07,SOLAPUR,MAHARASHTRA,3330
9,54438,SOLAPUR,RICEPADDYHUS,2015,OCTOBER,10740,2114,5421,3452,2015-10,SOLAPUR,MAHARASHTRA,3307
8,14619,KHAMGAON,PIGEON PEA TUR,2015,OCTOBER,1144,7570,10873,9586,2015-10,BULDHANA,MAHARASHTRA,3303
8,14973,MALKAPUR,PIGEON PEA TUR,2015,SEPTEMBER,843,6177,9473,7937,2015-09,BULDHANA,MAHARASHTRA,3296
9,54947,SOLAPUR,RICEPADDYHUS,2016,SEPTEMBER,11193,2216,5509,3207,2016-09,SOLAPUR,MAHARASHTRA,3293
9,23025,KOLHAPURLAXMIPURI,RICEPADDYHUS,2015,FEBRUARY,1845,2000,5250,2663,2015-02,KOLHAPUR,MAHARASHTRA,3250
9,26332,MUMBAI,RICEPADDYHUS,2015,JUNE,396689,3932,7178,5540,2015-06,MUMBAI,MAHARASHTRA,3246
8,57599,MANGRULPEER,PIGEON PEA TUR,2015,DECEMBER,14592,6586,9824,9289,2015-12,WASIM,MAHARASHTRA,3238
9,51275,SOLAPUR,RICEPADDYHUS,2015,AUGUST,13761,2124,5356,3427,2015-08,SOLAPUR,MAHARASHTRA,3232
9,46323,KHALAPURSHILPHATA,RICEPADDYHUS,2016,MAY,223,2308,5517,3342,2016-05,RAIGAD,MAHARASHTRA,3209
11,17218,SHIRPUR,SESAMUM,2014,NOVEMBER,53,7225,10406,9182,2014-11,DHULE,MAHARASHTRA,3181
9,54439,SOLAPUR,RICEPADDYHUS,2016,OCTOBER,8831,2125,5252,3018,2016-10,SOLAPUR,MAHARASHTRA,3127
8,12959,KHAMGAON,PIGEON PEA TUR,2015,DECEMBER,43655,6781,9892,8786,2015-12,BULDHANA,MAHARASHTRA,3111
8,39624,MANWAT,PIGEON PEA TUR,2015,OCTOBER,12,6751,9851,9250,2015-10,PARBHANI,MAHARASHTRA,3100
8,40954,INDAPURBHIGWAN,PIGEON PEA TUR,2015,DECEMBER,177,5840,8940,8140,2015-12,PUNE,MAHARASHTRA,3100
9,53623,SOLAPUR,RICEPADDYHUS,2016,MAY,9136,2216,5314,3274,2016-05,SOLAPUR,MAHARASHTRA,3098
9,53957,SOLAPUR,RICEPADDYHUS,2015,NOVEMBER,6267,2108,5193,3517,2015-11,SOLAPUR,MAHARASHTRA,3085
9,46217,KARJAT RAIGAD,RICEPADDYHUS,2016,JUNE,2720,2000,5055,3045,2016-06,RAIGAD,MAHARASHTRA,3055
8,12796,MALKAPUR,PIGEON PEA TUR,2015,AUGUST,2104,6113,9162,8093,2015-08,BULDHANA,MAHARASHTRA,3049
8,14685,MALKAPUR,PIGEON PEA TUR,2015,OCTOBER,361,7270,10311,9567,2015-10,BULDHANA,MAHARASHTRA,3041
9,51620,SOLAPUR,RICEPADDYHUS,2015,DECEMBER,13611,2121,5158,3466,2015-12,SOLAPUR,MAHARASHTRA,3037
9,60834,SOLAPUR,RICEPADDYHUS,2016,NOVEMBER,15808,2265,5300,3126,2016-11,SOLAPUR,MAHARASHTRA,3035
9,56097,KALYAN,RICEPADDYHUS,2016,MARCH,18,2733,5767,4433,2016-03,THANE,MAHARASHTRA,3034
11,17374,SHIRPUR,SESAMUM,2014,OCTOBER,181,8291,11325,10209,2014-10,DHULE,MAHARASHTRA,3034
9,62087,KARJAT RAIGAD,RICEPADDYHUS,2016,NOVEMBER,1126,2000,5022,3078,2016-11,RAIGAD,MAHARASHTRA,3022
9,46175,KARJAT RAIGAD,RICEPADDYHUS,2016,JULY,1595,2000,5010,3000,2016-07,RAIGAD,MAHARASHTRA,3010
8,4641,BALAPUR,PIGEON PEA TUR,2015,DECEMBER,1308,6150,9150,8363,2015-12,AKOLA,MAHARASHTRA,3000
8,38781,SAILU,PIGEON PEA TUR,2015,AUGUST,80,7000,10000,8781,2015-08,PARBHANI,MAHARASHTRA,3000
9,46164,PEN,RICEPADDYHUS,2015,JANUARY,78,3500,6500,4082,2015-01,RAIGAD,MAHARASHTRA,3000
11,58088,KARANJA,SESAMUM,2015,NOVEMBER,2,3000,6000,3000,2015-11,WASIM,MAHARASHTRA,3000
9,23783,KOLHAPURLAXMIPURI,RICEPADDYHUS,2015,NOVEMBER,6350,1986,4957,3367,2015-11,KOLHAPUR,MAHARASHTRA,2971
9,45986,PEN,RICEPADDYHUS,2015,APRIL,12,3550,6500,4075,2015-04,RAIGAD,MAHARASHTRA,2950
9,46307,PEN,RICEPADDYHUS,2015,MARCH,6,3550,6500,4080,2015-03,RAIGAD,MAHARASHTRA,2950
9,50959,SOLAPUR,RICEPADDYHUS,2016,APRIL,7854,2239,5181,3263,2016-04,SOLAPUR,MAHARASHTRA,2942
9,55448,ULHASNAGAR,RICEPADDYHUS,2015,DECEMBER,6394,3763,6703,5190,2015-12,THANE,MAHARASHTRA,2940
9,52314,SOLAPUR,RICEPADDYHUS,2016,JANUARY,5076,2143,5066,3361,2016-01,SOLAPUR,MAHARASHTRA,2923
9,23319,KOLHAPURLAXMIPURI,RICEPADDYHUS,2016,JULY,2430,2243,5157,3854,2016-07,KOLHAPUR,MAHARASHTRA,2914
9,23457,KOLHAPURLAXMIPURI,RICEPADDYHUS,2016,JUNE,4070,2077,4977,3721,2016-06,KOLHAPUR,MAHARASHTRA,2900
9,53294,SOLAPUR,RICEPADDYHUS,2016,MARCH,7582,2214,5114,3324,2016-03,SOLAPUR,MAHARASHTRA,2900
11,13957,CHIKHALI,SESAMUM,2016,MARCH,1,4000,6900,5450,2016-03,BULDHANA,MAHARASHTRA,2900
8,47085,SANGALI,PIGEON PEA TUR,2015,AUGUST,26,6100,9000,7100,2015-08,SANGLI,MAHARASHTRA,2900
12,38964,SAILU,SORGUMJAWAR,2016,FEBRUARY,399,1327,4202,1529,2016-02,PARBHANI,MAHARASHTRA,2875
8,47954,SANGALI,PIGEON PEA TUR,2015,SEPTEMBER,30,6833,9700,8900,2015-09,SANGLI,MAHARASHTRA,2867
9,55894,ULHASNAGAR,RICEPADDYHUS,2016,JULY,5710,3270,6135,4814,2016-07,THANE,MAHARASHTRA,2865
9,51965,SOLAPUR,RICEPADDYHUS,2016,FEBRUARY,17394,2218,5073,3399,2016-02,SOLAPUR,MAHARASHTRA,2855
9,22816,KOLHAPURLAXMIPURI,RICEPADDYHUS,2016,AUGUST,2660,2175,5021,3471,2016-08,KOLHAPUR,MAHARASHTRA,2846
9,27025,MUMBAI,RICEPADDYHUS,2016,SEPTEMBER,474923,4379,7218,5799,2016-09,MUMBAI,MAHARASHTRA,2839
9,55733,ULHASNAGAR,RICEPADDYHUS,2016,JANUARY,6109,3600,6435,4995,2016-01,THANE,MAHARASHTRA,2835
9,61791,KOLHAPURLAXMIPURI,RICEPADDYHUS,2016,NOVEMBER,2110,2100,4910,3000,2016-11,KOLHAPUR,MAHARASHTRA,2810
8,25395,LATUR,PIGEON PEA TUR,2015,OCTOBER,2436,9831,12641,11705,2015-10,LATUR,MAHARASHTRA,2810
9,46026,PEN,RICEPADDYHUS,2015,AUGUST,36,3550,6360,4080,2015-08,RAIGAD,MAHARASHTRA,2810
8,13007,MALKAPUR,PIGEON PEA TUR,2015,DECEMBER,9380,6719,9526,8644,2015-12,BULDHANA,MAHARASHTRA,2807
9,23959,KOLHAPURLAXMIPURI,RICEPADDYHUS,2016,OCTOBER,2535,2100,4903,3060,2016-10,KOLHAPUR,MAHARASHTRA,2803
9,55595,KALYAN,RICEPADDYHUS,2015,JANUARY,6,1900,4700,3300,2015-01,THANE,MAHARASHTRA,2800
17,54817,KURDWADIMODNIMB,WHEATHUSKED,2016,SEPTEMBER,4,1651,4450,1952,2016-09,SOLAPUR,MAHARASHTRA,2799
9,24155,KOLHAPURLAXMIPURI,RICEPADDYHUS,2016,SEPTEMBER,2505,2100,4895,3091,2016-09,KOLHAPUR,MAHARASHTRA,2795
9,23675,KOLHAPURLAXMIPURI,RICEPADDYHUS,2016,MAY,7630,2088,4877,3727,2016-05,KOLHAPUR,MAHARASHTRA,2789
8,25240,LATUR,PIGEON PEA TUR,2015,NOVEMBER,1702,8625,11407,10395,2015-11,LATUR,MAHARASHTRA,2782
9,46069,PEN,RICEPADDYHUS,2014,DECEMBER,48,3550,6331,4074,2014-12,RAIGAD,MAHARASHTRA,2781
8,19465,PAROLA,PIGEON PEA TUR,2016,FEBRUARY,24,5400,8171,6985,2016-02,JALGAON,MAHARASHTRA,2771
9,25614,MUMBAI,RICEPADDYHUS,2016,APRIL,563098,4187,6951,5586,2016-04,MUMBAI,MAHARASHTRA,2764
8,47181,SANGALI,PIGEON PEA TUR,2015,DECEMBER,14,7750,10500,9550,2015-12,SANGLI,MAHARASHTRA,2750
9,23026,KOLHAPURLAXMIPURI,RICEPADDYHUS,2016,FEBRUARY,6830,2029,4763,3021,2016-02,KOLHAPUR,MAHARASHTRA,2734
8,10555,MAJALGAON,PIGEON PEA TUR,2015,DECEMBER,5416,6394,9114,8744,2015-12,BEED,MAHARASHTRA,2720
9,55147,ULHASNAGAR,RICEPADDYHUS,2016,APRIL,4814,3022,5739,4257,2016-04,THANE,MAHARASHTRA,2717
9,46398,PEN,RICEPADDYHUS,2014,NOVEMBER,54,3533,6250,4077,2014-11,RAIGAD,MAHARASHTRA,2717
9,46259,PEN,RICEPADDYHUS,2015,JUNE,60,3520,6236,4080,2015-06,RAIGAD,MAHARASHTRA,2716
14,26860,MUMBAI,SPLIT BLACK GRAM,2015,OCTOBER,22214,13156,15852,14504,2015-10,MUMBAI,MAHARASHTRA,2696
9,26456,MUMBAI,RICEPADDYHUS,2016,MARCH,475810,4149,6836,5509,2016-03,MUMBAI,MAHARASHTRA,2687
9,25972,MUMBAI,RICEPADDYHUS,2016,FEBRUARY,535168,4196,6876,5562,2016-02,MUMBAI,MAHARASHTRA,2680
9,46412,KARJAT RAIGAD,RICEPADDYHUS,2016,OCTOBER,1912,2000,4678,3043,2016-10,RAIGAD,MAHARASHTRA,2678
9,55931,KALYAN,RICEPADDYHUS,2016,JUNE,6,2075,4750,4350,2016-06,THANE,MAHARASHTRA,2675
8,5862,ACHALPUR,PIGEON PEA TUR,2015,DECEMBER,6102,6314,8987,8057,2015-12,AMARAVATHI,MAHARASHTRA,2673
9,23152,KOLHAPURLAXMIPURI,RICEPADDYHUS,2016,JANUARY,6590,2029,4700,3000,2016-01,KOLHAPUR,MAHARASHTRA,2671
9,56357,VASAI,RICEPADDYHUS,2016,MAY,8036,1871,4530,2864,2016-05,THANE,MAHARASHTRA,2659
8,16616,SHIRPUR,PIGEON PEA TUR,2016,FEBRUARY,241,4976,7628,6889,2016-02,DHULE,MAHARASHTRA,2652
9,56227,ULHASNAGAR,RICEPADDYHUS,2016,MARCH,5062,3015,5667,4295,2016-03,THANE,MAHARASHTRA,2652
9,46527,PEN,RICEPADDYHUS,2015,SEPTEMBER,42,3536,6183,4080,2015-09,RAIGAD,MAHARASHTRA,2647
9,55564,ULHASNAGAR,RICEPADDYHUS,2016,FEBRUARY,4579,3150,5793,4467,2016-02,THANE,MAHARASHTRA,2643
9,55299,ULHASNAGAR,RICEPADDYHUS,2016,AUGUST,5557,3135,5773,4500,2016-08,THANE,MAHARASHTRA,2638
11,17375,SHIRPUR,SESAMUM,2015,OCTOBER,91,4693,7317,6192,2015-10,DHULE,MAHARASHTRA,2624
9,45996,KARJAT RAIGAD,RICEPADDYHUS,2016,AUGUST,1163,2000,4609,3000,2016-08,RAIGAD,MAHARASHTRA,2609
8,11940,KILLE DHARUR,PIGEON PEA TUR,2015,SEPTEMBER,17,6357,8957,8708,2015-09,BEED,MAHARASHTRA,2600
11,34688,LASALGAON,SESAMUM,2015,JANUARY,6,9562,12160,10173,2015-01,NASIK,MAHARASHTRA,2598
8,12647,SANGRAMPUR,PIGEON PEA TUR,2015,APRIL,1281,3650,6238,5750,2015-04,BULDHANA,MAHARASHTRA,2588
9,46206,PEN,RICEPADDYHUS,2015,JULY,108,3492,6072,4077,2015-07,RAIGAD,MAHARASHTRA,2580
9,56811,ULHASNAGAR,RICEPADDYHUS,2016,SEPTEMBER,4935,3349,5926,4757,2016-09,THANE,MAHARASHTRA,2577
9,26574,MUMBAI,RICEPADDYHUS,2016,MAY,478697,4492,7063,5722,2016-05,MUMBAI,MAHARASHTRA,2571
9,25732,MUMBAI,RICEPADDYHUS,2015,AUGUST,468981,4346,6902,5866,2015-08,MUMBAI,MAHARASHTRA,2556
8,5989,DARYAPUR,PIGEON PEA TUR,2015,DECEMBER,7276,6320,8866,8238,2015-12,AMARAVATHI,MAHARASHTRA,2546
9,23555,KOLHAPURLAXMIPURI,RICEPADDYHUS,2016,MARCH,7190,2067,4608,3063,2016-03,KOLHAPUR,MAHARASHTRA,2541
9,25733,MUMBAI,RICEPADDYHUS,2016,AUGUST,442257,4276,6817,5518,2016-08,MUMBAI,MAHARASHTRA,2541
9,46116,PEN,RICEPADDYHUS,2015,FEBRUARY,42,3230,5771,3691,2015-02,RAIGAD,MAHARASHTRA,2541
9,56059,ULHASNAGAR,RICEPADDYHUS,2016,JUNE,7078,3324,5863,4597,2016-06,THANE,MAHARASHTRA,2539
11,17219,SHIRPUR,SESAMUM,2015,NOVEMBER,68,4117,6642,5167,2015-11,DHULE,MAHARASHTRA,2525
9,46260,PEN,RICEPADDYHUS,2016,JUNE,144,3550,6071,4078,2016-06,RAIGAD,MAHARASHTRA,2521
8,12654,SANGRAMPURVARVATBAKAL,PIGEON PEA TUR,2016,APRIL,806,6204,8718,8400,2016-04,BULDHANA,MAHARASHTRA,2514
9,46358,PEN,RICEPADDYHUS,2015,MAY,30,3550,6056,4082,2015-05,RAIGAD,MAHARASHTRA,2506
9,62089,PEN,RICEPADDYHUS,2016,NOVEMBER,132,3550,6053,4080,2016-11,RAIGAD,MAHARASHTRA,2503
9,46165,PEN,RICEPADDYHUS,2016,JANUARY,96,3550,6052,4083,2016-01,RAIGAD,MAHARASHTRA,2502
9,45987,PEN,RICEPADDYHUS,2016,APRIL,6,3550,6050,4070,2016-04,RAIGAD,MAHARASHTRA,2500
9,46027,PEN,RICEPADDYHUS,2016,AUGUST,108,3550,6050,4073,2016-08,RAIGAD,MAHARASHTRA,2500
9,46117,PEN,RICEPADDYHUS,2016,FEBRUARY,24,3550,6050,4083,2016-02,RAIGAD,MAHARASHTRA,2500
9,46308,PEN,RICEPADDYHUS,2016,MARCH,36,3550,6050,4080,2016-03,RAIGAD,MAHARASHTRA,2500
8,58101,MANGRULPEER,PIGEON PEA TUR,2015,NOVEMBER,23,8000,10500,9900,2015-11,WASIM,MAHARASHTRA,2500
9,46070,PEN,RICEPADDYHUS,2015,DECEMBER,108,3550,6050,4082,2015-12,RAIGAD,MAHARASHTRA,2500
9,46399,PEN,RICEPADDYHUS,2015,NOVEMBER,66,3550,6050,4080,2015-11,RAIGAD,MAHARASHTRA,2500
9,46463,PEN,RICEPADDYHUS,2015,OCTOBER,96,3550,6050,4079,2015-10,RAIGAD,MAHARASHTRA,2500
9,46462,PEN,RICEPADDYHUS,2014,OCTOBER,66,3550,6050,4077,2014-10,RAIGAD,MAHARASHTRA,2500
9,46526,PEN,RICEPADDYHUS,2014,SEPTEMBER,30,3550,6050,4074,2014-09,RAIGAD,MAHARASHTRA,2500
8,10277,MAJALGAON,PIGEON PEA TUR,2016,APRIL,3543,6554,9048,8856,2016-04,BEED,MAHARASHTRA,2494
18,47248,SANGALI,WHEATUNHUSKED,2015,FEBRUARY,1154,3413,5906,3647,2015-02,SANGLI,MAHARASHTRA,2493
8,12907,CHIKHALI,PIGEON PEA TUR,2015,DECEMBER,9293,6900,9385,8095,2015-12,BULDHANA,MAHARASHTRA,2485
8,12749,KHAMGAON,PIGEON PEA TUR,2015,AUGUST,4868,6768,9244,8492,2015-08,BULDHANA,MAHARASHTRA,2476
8,39313,PATHARI,PIGEON PEA TUR,2016,MARCH,143,5162,7636,7253,2016-03,PARBHANI,MAHARASHTRA,2474
9,56237,VASAI,RICEPADDYHUS,2016,MARCH,4145,1844,4318,2751,2016-03,THANE,MAHARASHTRA,2474
9,31522,UMARED,RICEPADDYHUS,2014,SEPTEMBER,4017,2000,4463,3231,2014-09,NAGPUR,MAHARASHTRA,2463
9,26333,MUMBAI,RICEPADDYHUS,2016,JUNE,467511,4798,7259,6028,2016-06,MUMBAI,MAHARASHTRA,2461
8,6595,DARYAPUR,PIGEON PEA TUR,2015,JULY,2516,5054,7512,7235,2015-07,AMARAVATHI,MAHARASHTRA,2458
9,46475,KARJAT RAIGAD,RICEPADDYHUS,2014,SEPTEMBER,3155,2000,4458,3133,2014-09,RAIGAD,MAHARASHTRA,2458
9,25855,MUMBAI,RICEPADDYHUS,2015,DECEMBER,571322,4160,6615,5380,2015-12,MUMBAI,MAHARASHTRA,2455
11,13425,MALKAPUR,SESAMUM,2015,JANUARY,15,6300,8750,7888,2015-01,BULDHANA,MAHARASHTRA,2450
11,42831,INDAPURBHIGWAN,SESAMUM,2015,JUNE,5,4800,7250,6251,2015-06,PUNE,MAHARASHTRA,2450
9,26212,MUMBAI,RICEPADDYHUS,2015,JULY,467660,4186,6630,5603,2015-07,MUMBAI,MAHARASHTRA,2444
9,26213,MUMBAI,RICEPADDYHUS,2016,JULY,368328,4416,6857,5638,2016-07,MUMBAI,MAHARASHTRA,2441
8,13670,SANGRAMPUR,PIGEON PEA TUR,2015,JULY,141,4136,6570,5155,2015-07,BULDHANA,MAHARASHTRA,2434
9,22675,KOLHAPURLAXMIPURI,RICEPADDYHUS,2016,APRIL,6420,2170,4595,3380,2016-04,KOLHAPUR,MAHARASHTRA,2425
9,55573,VASAI,RICEPADDYHUS,2016,FEBRUARY,5625,1832,4256,2744,2016-02,THANE,MAHARASHTRA,2424
9,26094,MUMBAI,RICEPADDYHUS,2016,JANUARY,575997,4480,6900,5676,2016-01,MUMBAI,MAHARASHTRA,2420
9,55156,VASAI,RICEPADDYHUS,2016,APRIL,2665,1836,4248,2744,2016-04,THANE,MAHARASHTRA,2412
10,39314,PATHARI,SAFFLOWER,2016,MARCH,2,0,2411,2101,2016-03,PARBHANI,MAHARASHTRA,2411
8,12814,MEHKAR,PIGEON PEA TUR,2015,AUGUST,450,7833,10242,9000,2015-08,BULDHANA,MAHARASHTRA,2409
9,45955,KARJAT RAIGAD,RICEPADDYHUS,2016,APRIL,1034,2000,4400,3000,2016-04,RAIGAD,MAHARASHTRA,2400
9,46081,KARJAT RAIGAD,RICEPADDYHUS,2016,FEBRUARY,2160,2000,4400,3000,2016-02,RAIGAD,MAHARASHTRA,2400
9,46083,KHALAPURSHILPHATA,RICEPADDYHUS,2016,FEBRUARY,150,2000,4400,3000,2016-02,RAIGAD,MAHARASHTRA,2400
